2013/02/28 12:00:00,192.168.0.100,200,-
2013/02/28 12:01:00,192.168.0.101,201,-
2013/02/28 12:02:00,192.168.0.102,202,-
2013/02/28 12:03:00,192.168.0.103,203,-
2013/02/28 12:04:00,192.168.0.104,204,-
2013/02/28 12:05:00,192.168.0.105,205,-
2013/02/28 12:06:00,192.168.0.106,206,-
2013/02/28 12:07:00,192.168.0.107,207,-
2013/02/28 12:08:00,192.168.0.108,208,-
2013/02/28 12:09:00,192.168.0.109,209,-
2013/02/28 12:10:00,192.168.0.110,210,-
2013/02/28 12:11:00,192.168.0.111,211,-
2013/02/28 12:12:00,192.168.0.112,212,-
2013/02/28 12:13:00,192.168.0.113,213,-
2013/02/28 12:14:00,192.168.0.114,214,-
2013/02/28 12:15:00,192.168.0.115,215,-
2013/02/28 12:16:00,192.168.0.116,216,-
2013/02/28 12:17:00,192.168.0.117,217,-
2013/02/28 12:18:00,192.168.0.118,218,-
2013/02/28 12:19:00,192.168.0.119,219,-
2013/02/28 12:20:00,192.168.0.120,220,-
2013/02/28 12:21:00,192.168.0.121,221,-
2013/02/28 12:22:00,192.168.0.122,222,-
2013/02/28 12:23:00,192.168.0.123,223,-
2013/02/28 12:24:00,192.168.0.124,224,-
